馬ID,馬名,日付,場,R,レース名,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,馬場種別,距離,馬場
2017100627,コスモギンガ,2026-08-16,大井,10,ミッドサマー特別競走(C2),13,6,8,122.2,11,7,田中洸多,54,ダ,1650,重
2017100627,コスモギンガ,2026-07-21,大井,10,わし座特別競走(C2),14,6,9,224.1,12,12,田中洸多,54,ダ,2000,良
2017100627,コスモギンガ,2026-07-03,大井,9,ヘラクレス座特別競走(C2),12,6,8,159.2,9,9,田中洸多,54,ダ,1800,不
2017100627,コスモギンガ,2026-06-11,大井,12,こと座特別競走(C2),11,7,9,107.8,9,6,田中洸多,54,ダ,1650,稍
2017100627,コスモギンガ,2026-05-22,大井,9,うしかい座特別競走(C2),10,5,5,167.1,8,6,田中洸多,54,ダ,1800,不
2017100627,コスモギンガ,2026-04-27,大井,10,こじし座特別競走(C2),15,1,1,94.8,12,9,田中洸多,54,ダ,2000,不
2017100627,コスモギンガ,2026-04-16,大井,12,かに座特別競走(C2),10,4,4,18.7,6,5,山林堂信,54,ダ,1650,不
2017100627,コスモギンガ,2026-03-24,大井,10,おおぐま座特別競走(C2),14,8,13,84.6,13,8,杉山海波,51,ダ,2000,良
2017100627,コスモギンガ,2026-03-12,大井,10,四谷見附特別競走(C2),16,2,3,213.2,12,13,山林堂信,54,ダ,1800,良
2017100627,コスモギンガ,2026-02-20,大井,12,梅見月特別競走(C2),16,4,7,176.9,13,9,山林堂信,54,ダ,2000,良
2017100627,コスモギンガ,2026-01-29,大井,12,風花特別競走(C1C2),14,6,10,247.0,12,6,山林堂信,53,ダ,1650,良
2017100627,コスモギンガ,2026-01-16,大井,4,呑川賞(C2四),14,6,9,233.4,13,10,山林堂信,54,ダ,1600,良
2017100627,コスモギンガ,2025-12-30,大井,12,師走特別競走(C2),13,7,11,85.4,9,7,山林堂信,54,ダ,2000,稍
2017100627,コスモギンガ,2025-12-19,川崎,12,47thホワイトクリ(C1C2),12,4,4,47.8,9,6,山林堂信,53,ダ,1600,稍
2017100627,コスモギンガ,2025-12-01,大井,12,オリオン座特別競走(C2),16,2,3,162.6,10,10,山林堂信,54,ダ,1800,良
2017100627,コスモギンガ,2025-11-13,大井,12,ぎょしゃ座特別競走(C1C2),12,3,3,85.6,8,9,山林堂信,53,ダ,1650,稍
2017100627,コスモギンガ,2025-10-23,大井,10,YJSトライアルラウ(C2),14,5,7,29.3,11,5,石田拓郎,54,ダ,1800,重
2017100627,コスモギンガ,2025-10-05,大井,8,オフト南相馬賞競走(C2),14,5,8,45.5,9,7,山林堂信,54,ダ,1800,良
2017100627,コスモギンガ,2025-09-16,大井,12,くじら座特別競走(C2),14,6,10,34.0,9,5,山林堂信,54,ダ,2000,稍
2017100627,コスモギンガ,2025-09-01,大井,10,こうま座特別競走(C2),11,5,5,76.0,8,3,山林堂信,54,ダ,1800,良
2017100627,コスモギンガ,2025-08-14,大井,12,ミッドサマー特別競走(C2),12,2,2,148.5,9,5,山林堂信,54,ダ,1650,良
2017100627,コスモギンガ,2025-07-17,大井,4,C2二 三四(C2三),11,1,1,119.4,10,8,山林堂信,54,ダ,1600,重
2017100627,コスモギンガ,2025-07-03,大井,12,海王星特別競走(C1C2),13,1,1,125.2,10,9,山林堂信,53,ダ,1650,良
2017100627,コスモギンガ,2025-06-11,大井,4,C2七 八九(C2八),14,5,8,108.1,13,8,山林堂信,54,ダ,1600,不
2017100627,コスモギンガ,2025-05-22,大井,12,しし座特別競走(C1C2),14,7,12,364.8,13,8,山林堂信,53,ダ,1650,良
2017100627,コスモギンガ,2025-05-01,大井,8,ジン・バック賞(C2),14,6,10,233.9,12,9,山林堂信,54,ダ,1600,稍
2017100627,コスモギンガ,2025-04-17,大井,4,C2六 七八(C2七),9,4,4,126.9,8,8,山林堂信,54,ダ,1600,良
2017100627,コスモギンガ,2025-03-24,大井,12,ナイキジャガー賞競走(C1C2),10,6,6,93.0,7,7,山林堂信,53,ダ,1650,良
2017100627,コスモギンガ,2025-03-12,大井,6,C2六 七,13,1,1,181.4,11,12,石川駿介,54,ダ,1200,重
2017100627,コスモギンガ,2025-02-17,大井,12,オフト新潟賞競走(C1C2),12,4,4,110.8,10,8,石川駿介,53,ダ,1650,良
2017100627,コスモギンガ,2025-01-30,大井,7,C2五 六七(C2六),11,7,10,182.5,8,8,田中洸多,51,ダ,1400,良
2017100627,コスモギンガ,2025-01-13,大井,12,おおいぬ座特別競走(C1C2),11,6,7,85.7,7,6,山林堂信,53,ダ,1650,稍
2017100627,コスモギンガ,2024-12-31,大井,4,C2三 四五(C2四),13,3,3,124.7,12,11,山林堂信,54,ダ,1600,良
2017100627,コスモギンガ,2024-12-13,川崎,12,46thホワイトクリ(C1C2),14,3,3,44.9,9,5,山林堂信,53,ダ,1600,良
2017100627,コスモギンガ,2024-12-01,大井,10,シトリン特別競走(C1C2),12,1,1,126.8,10,5,山林堂信,53,ダ,1650,良
2017100627,コスモギンガ,2024-11-08,大井,8,ギムレット賞(C2三),14,6,9,398.8,13,8,大木天翔,54,ダ,1600,良
2017100627,コスモギンガ,2024-10-14,大井,12,錦秋特別競走(C1C2),11,8,10,80.1,10,7,田中洸多,50,ダ,1650,良
2017100627,コスモギンガ,2024-10-03,大井,7,C2二 三四(C2三),12,2,2,138.7,11,8,田中洸多,51,ダ,1600,良
2017100627,コスモギンガ,2024-09-08,大井,8,白露特別競走(C1C2),11,7,9,107.9,9,7,田中洸多,50,ダ,1650,良
2017100627,コスモギンガ,2024-08-17,大井,8,ミント・フラッペ賞(C2三),11,6,7,54.0,9,6,田中洸多,51,ダ,1600,重
2017100627,コスモギンガ,2024-08-16,大井,8,ミント・フラッペ賞(C2三),,6,7,,,,田中洸多,51,ダ,1600,
