コーナー,通過順
1コーナー,"2,7,5,3-(11,10),(1,9),8-6,4"
2コーナー,"2,7,(3,5)-10,(1,11,9)-(6,8)-4"
3コーナー,"2,(3,7,5),9-10-1,(11,6,8)-4"
4コーナー,"2,5,3,7,9,10-(1,8),(11,6)-4"
