馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,脚質
3,3,ペプトンオー,牡2,54.0,矢野貴之,,,42.7,,
4,4,ロワゾドゥフ,牝2,54.0,和田譲治,,,43.0,,
8,8,デンティンブリッジ,牡2,54.0,野畑凌,,,43.3,,
5,5,ネーヴェミラコロサ,牡2,54.0,藤田凌,,,43.6,,
1,1,ムーンショア,牝2,54.0,中村尚平,,,43.7,,
9,8,ミヤコノセイホク,牡2,54.0,笹川翼,,,44.7,,
2,2,アカノヘヤ,牝2,54.0,藤本現暉,,,45.5,,
7,7,エスプリチャンポン,牡2,51.0,▲西優哉,,,46.7,,
6,6,ハヤブサジャック,牡2,54.0,吉井章,,,51.0,,
