券種,組み合わせ,配当,人気
単勝,3,200,1
複勝,3,130,1
複勝,10,440,7
複勝,6,230,3
枠連,3-7,370,1
馬連,3-10,3370,12
ワイド,3-10,740,10
ワイド,3-6,360,2
ワイド,6-10,2240,24
馬単,3-10,4050,15
3連複,3-6-10,6140,23
3連単,3-10-6,32810,108
