券種,組み合わせ,配当,人気
単勝,7,200,1
複勝,7,140,2
複勝,12,360,6
複勝,2,230,5
枠連,6-8,3260,10
馬連,7-12,2540,10
ワイド,7-12,690,10
ワイド,2-7,410,5
ワイド,2-12,2090,21
馬単,7-12,3430,13
3連複,2-7-12,8290,26
3連単,7-12-2,27880,88
