馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,脚質
14,8,タイガーシャーク,牡4,56.0,安藤洋一,,,37.1,,
11,7,ニチリン,牝6,54.0,矢野貴之,,,37.6,,
1,1,ジーティーウララ,牝4,54.0,岡村健司,,,37.3,,
2,2,ザゴート,牝6,51.0,▲杉山海波,,,38.3,,
12,7,アフリカンビート,牡5,56.0,石川駿介,,,37.3,,
13,8,ルネサンスクラブ,牡4,56.0,和田譲治,,,38.1,,
10,6,ウイニングショット,牡4,53.0,▲西優哉,,,36.5,,
4,3,ショウサンレックス,牡6,56.0,藤田凌,,,36.7,,
8,5,ロクスマリアンヌ,牝7,54.0,西啓太,,,38.9,,
6,4,ディフィラリー,牡5,56.0,瀬川将輝,,,38.6,,
5,4,アソス,牡6,56.0,吉井章,,,37.5,,
9,6,プロシュ,牝4,54.0,遠藤健太,,,38.3,,
7,5,ウイントルヴェール,牡6,56.0,東原悠善,,,38.7,,
3,3,ショウナンマナ,牝6,54.0,中村尚平,,,40.6,,
