馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,脚質
3,3,グラスリッキー,牡3,56.0,笹川翼,,,39.8,,
9,6,ダイナマイトガンモ,牝3,54.0,矢野貴之,,,41.6,,
12,7,ラブリーネイティブ,牝3,54.0,藤本現暉,,,40.4,,
4,3,バゴリオ,牝3,51.0,▲西優哉,,,41.8,,
2,2,ジョテイ,牝3,51.0,▲木澤奨,,,40.2,,
11,7,ジェイケイティアラ,牝3,54.0,吉井章,,,41.4,,
14,8,メガコウチャハイ,牝3,54.0,瀬川将輝,,,41.9,,
7,5,ファジーエンジェル,牝3,54.0,東原悠善,,,40.9,,
13,8,アズキング,牡3,56.0,千田洋,,,41.1,,
8,5,ハッチトポッチ,牝3,51.0,▲杉山海波,,,42.1,,
10,6,カレックス,牡3,56.0,藤田凌,,,42.5,,
5,4,ファンキーヤンキー,牡3,56.0,野畑凌,,,42.3,,
6,4,サーカスサーカス,牡3,56.0,渡辺竜也,,,42.3,,
1,1,アーメダバード,牡3,56.0,和田譲治,,,43.4,,
