馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,脚質
12,8,ドピエッタ,牝4,51.0,▲小野俊斗,,,37.6,,
3,3,サフィールシェール,牝5,51.0,▲杉山海波,,,39.0,,
6,5,スマイルケイ,牝5,54.0,達城龍次,,,38.8,,
1,1,イロンデル,牡5,56.0,高野誠毅,,,38.4,,
8,6,アンモニャイト,牝4,54.0,和田譲治,,,39.2,,
11,7,インペリオ,牡5,56.0,安藤洋一,,,39.0,,
5,4,クチャモザクワジャ,牡7,56.0,笹川翼,,,39.5,,
13,8,アルピニスト,牝5,53.0,☆谷内貫太,,,38.3,,
7,5,マドモアゼルレンヌ,牝5,54.0,西啓太,,,38.9,,
10,7,バイアホーン,牝4,54.0,藤本現暉,,,40.2,,
4,4,ワイドリューレント,牝4,51.0,▲高橋優,,,38.9,,
2,2,フルグライト,牡4,56.0,鷹見陸,,,40.4,,
9,6,シュテルン,牝3,53.0,東原悠善,,,39.2,,
