着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,3,3,アオイコウキ,牡6,56.0,高橋昭平,1:13.9,,8,47.4,37.5,大井 市村誠,506(-3)
2,4,4,サウンドキングダム,牡7,56.0,安藤洋一,1:13.9,アタマ,4,7.1,37.9,大井 鈴木啓之,513(-3)
3,6,6,メイショウアキカゼ,牝4,54.0,和田譲治,1:14.1,1,3,4.8,37.8,大井 栗田裕光,488(-3)
4,5,5,トキノカンピオーネ,牡4,56.0,本田正重,1:14.2,1/2,5,7.8,37.1,大井 月岡健二,495(-2)
5,2,2,モンサンヴデット,牝4,51.0,▲小野俊斗,1:14.5,1.1/2,1,3.1,38.8,大井 宗形竹見,462(-3)
6,8,8,ベイステート,牡5,53.0,▲西優哉,1:14.5,ハナ,6,7.9,38.0,大井 澤佳宏,486(+4)
7,8,9,ノッテドコード,牡6,56.0,菅原涼太,1:14.5,アタマ,2,3.9,39.2,大井 穂刈隆志,534(-2)
8,1,1,サントレッダー,牝4,51.0,▲杉山海波,1:14.9,2,7,17.3,38.7,大井 高橋清顕,494(+5)
9,7,7,マッチャンサンバ,牝4,54.0,鷹見陸,1:16.7,9,9,131.1,39.8,大井 栗田裕光,426(-2)
