馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,脚質
7,5,カシマショウリュウ,牡3,53.0,▲西優哉,,,38.7,,
12,7,ディアワン,牝3,54.0,安藤洋一,,,38.9,,
13,8,シャルシェ,牝3,54.0,本田正重,,,38.6,,
11,7,ナックポピー,牝3,54.0,高橋昭平,,,38.3,,
4,3,ルイーダ,牝3,51.0,▲小野俊斗,,,39.5,,
14,8,コスケンコルヴァ,牝3,54.0,御神本訓,,,39.6,,
2,2,グロリアスワールド,牡3,55.0,☆中山遥人,,,40.1,,
3,3,スカイハピネス,牝3,54.0,野畑凌,,,41.1,,
9,6,パロットフィッシュ,牝3,54.0,本橋孝太,,,39.1,,
10,6,パイナップルケーキ,牝3,54.0,田中洸多,,,40.9,,
5,4,チュウオースカイ,牡3,56.0,瀬川将輝,,,40.9,,
6,4,ヤマトシーダー,牝3,54.0,F.ゴン,,,40.4,,
8,5,サクラエナジー,牝3,54.0,高野誠毅,,,41.0,,
1,1,キミヲコイシタウ,牝3,54.0,達城龍次,,,41.8,,
