馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,脚質
9,8,アルムラトゥール,牡6,57.0,野畑凌,,,38.1,,
7,7,アレスグート,牡4,57.0,御神本訓,,,38.2,,
1,1,スマートサニー,牡6,57.0,本田正重,,,37.4,,
3,3,カズプレスト,牡7,57.0,藤田凌,,,38.5,,
5,5,ムットクルフェ,セ5,57.0,矢野貴之,,,38.4,,
4,4,フジマサテイオー,牡5,57.0,和田譲治,,,38.8,,
2,2,ペルセヴェランテ,牡5,57.0,笹川翼,,,39.1,,
8,8,ショウナンカブト,セ6,57.0,西啓太,,,38.1,,
6,6,エルゲルージ,牡7,56.0,☆中山遥人,,,39.9,,
