コーナー,通過順
2コーナー,"(1,7),10,(2,4,11),(8,12,14),(3,9),(5,6)"
3コーナー,"(7,1),(10,14),(2,4),(3,12),11,(9,8),5,6"
4コーナー,"(7,1),(2,4,10,14),(3,12),(9,11,8),(6,5)"
