馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,脚質
6,4,カズノマリア,牝4,53.0,☆中山遥人,,,38.1,,
5,4,アネラカイカマヒネ,牝6,51.0,▲杉山海波,,,39.3,,
3,3,ツクシ,牝6,53.0,☆谷内貫太,,,38.2,,
10,6,ヘニーアイリス,牝5,54.0,吉井章,,,38.6,,
7,5,コーントップス,牝5,54.0,石川駿介,,,38.2,,
2,2,ストロングフレイヤ,牝6,54.0,藤本現暉,,,39.4,,
9,6,ソリタリオカズ,牡4,53.0,▲西優哉,,,38.6,,
1,1,ウルフスタンド,牡4,56.0,鷹見陸,,,39.7,,
13,8,マーナーパス,牡7,56.0,遠藤健太,,,40.7,,
14,8,スターオブウーノ,牡5,56.0,松崎正泰,,,38.9,,
12,7,ドンナドンナ,牝6,54.0,田中洸多,,,40.1,,
11,7,スイヘイセン,牡5,53.0,▲高橋優,,,39.6,,
4,3,ボンマティ,牝4,54.0,櫻井光輔,,,39.7,,
8,5,エクスプローラー,牡7,56.0,本村直樹,,,40.3,,
