券種,組み合わせ,配当,人気
単勝,12,100,1
複勝,12,100,1
複勝,2,170,4
複勝,1,130,2
枠連,2-8,550,3
馬連,2-12,740,4
ワイド,2-12,270,4
ワイド,1-12,140,1
ワイド,1-2,710,9
馬単,12-2,730,4
3連複,1-2-12,660,2
3連単,12-2-1,1680,5
