コーナー,通過順
1コーナー,"2,9,(1,12),6,11,10,8,3,5,4,7"
2コーナー,"2,9,(1,12),6,11,(10,8),3,5,4,7"
3コーナー,"2,9,12,6,11,8,1,5,3,7,4,10"
4コーナー,"(2,9),12,6,8,11,(1,5),3,7,4,10"
