コーナー,通過順
1コーナー,"(2,3,10),7,8,(4,9),12,(1,6),14,5-13,11"
2コーナー,"(2,3,10),7,8-(4,9)-12,(1,6),14,5-13-11"
3コーナー,"(2,3,10),(7,8),(4,9),(12,14),6,5,(1,13),11"
4コーナー,"(2,3,10),(4,7,9),(12,8),(6,14),5,(1,11,13)"
