コーナー,通過順
1コーナー,"3,2-14,12,11,9,10,8,4,(1,6),7,5,13"
2コーナー,"3,2,12,14,11,9,10,6,8,4,1,7,5,13"
3コーナー,"3,2,(14,12),6,11,9,4,10,8,1,7,5,13"
4コーナー,"3,14,(11,12),2,6,9,4,10,8,7,1,5,13"
