コーナー,通過順
3コーナー,"(1,2)-13,(8,16),(10,11)-(9,14),(15,12),7-4-6,5-3"
4コーナー,"(1,2),13,(8,16),(10,11)-(9,15,14),12,7,4,(5,6)=3"
