馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,脚質
7,7,キョウエイアカギ,牡2,54.0,藤田凌,,,37.1,,
4,4,ケテンパッション,牡2,54.0,笹川翼,,,37.3,,
3,3,シャンハイヨシノ,牡2,54.0,吉井章,,,39.1,,
2,2,ガブリン,牡2,54.0,本田正重,,,38.2,,
8,8,シンゼンアカギ,牡2,51.0,▲杉山海波,,,39.6,,
5,5,イノデジュエル,牝2,54.0,矢野貴之,,,39.4,,
1,1,チャトラン,牝2,51.0,▲西優哉,,,38.8,,
6,6,シンプウキセキ,牡2,54.0,和田譲治,,,,,
