馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,脚質
5,4,ゴールドタリスマン,牝5,54.0,中村尚平,,,38.2,,
1,1,コトブキエース,牡6,53.0,▲西優哉,,,38.3,,
2,2,フェアリーマイア,牝6,51.0,▲高橋優,,,37.2,,
13,8,ミユンガー,牡4,56.0,藤田凌,,,39.5,,
8,6,タイセイスパート,牡6,56.0,野畑凌,,,39.7,,
6,5,ベアウェイトゥゴー,牝5,54.0,遠藤健太,,,37.4,,
12,8,キタノファルコン,牡6,56.0,藤本現暉,,,39.1,,
4,4,ブライトフォース,牡4,53.0,▲杉山海波,,,38.4,,
10,7,ファインスカート,牝5,54.0,岡村健司,,,39.2,,
7,5,ウォーバックス,セ8,56.0,江里口裕,,,38.0,,
9,6,フローラルロマンス,牝7,54.0,佐野遥久,,,39.1,,
3,3,ハナヒラク,牝4,54.0,西啓太,,,40.4,,
11,7,プレミアリッチ,牝4,54.0,東原悠善,,,40.8,,
