券種,組み合わせ,配当,人気
単勝,9,690,2
複勝,9,130,2
複勝,11,160,3
複勝,6,100,1
枠連,7-8,1230,5
馬連,9-11,3600,10
ワイド,9-11,610,7
ワイド,6-9,190,1
ワイド,6-11,220,2
馬単,9-11,6000,14
3連複,6-9-11,870,1
3連単,9-11-6,12270,41
