コーナー,通過順
1コーナー,"(1,8)-(2,4,14),7,(6,10),(3,13),(5,11)-(12,9)"
2コーナー,"(1,8),(2,4),(7,10,14),6,(3,13,11),5,(12,9)"
3コーナー,"(1,8),14-11,(4,13),2,(7,10,3),(6,12)-(5,9)"
4コーナー,"(1,8),14-(11,13),(2,4),(7,3),(10,12),6,9,5"
