券種,組み合わせ,配当,人気
単勝,12,260,1
複勝,12,150,3
複勝,3,190,4
複勝,8,150,2
枠連,3-7,740,3
馬連,3-12,750,3
ワイド,3-12,350,4
ワイド,8-12,300,2
ワイド,3-8,460,6
馬単,12-3,1350,4
3連複,3-8-12,1020,3
3連単,12-3-8,5020,8
