馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,脚質
13,8,エスケイイーグル,牡5,56.0,藤本現暉,,,38.0,,
1,1,チェイスザファイア,セ4,53.0,▲高橋優,,,38.8,,
4,3,ジャスミン,牝4,54.0,佐野遥久,,,38.9,,
5,4,ブラボーキングダム,セ5,56.0,安藤洋一,,,37.9,,
7,5,ママアリガトー,牝4,51.0,▲杉山海波,,,39.6,,
14,8,クライトゥナイト,牝6,54.0,中村尚平,,,40.4,,
12,7,トサノオウマサン,牝4,51.0,▲小野俊斗,,,37.8,,
6,4,デルタウェーブ,牝4,54.0,吉井章,,,39.2,,
2,2,サカベンクイーン,牝7,53.0,☆中山遥人,,,40.8,,
9,6,コンゴウ,牡4,56.0,西啓太,,,38.9,,
10,6,ミュークエンペラー,牡4,56.0,藤田凌,,,38.3,,
8,5,エムオーナイナー,牡8,56.0,達城龍次,,,39.9,,
11,7,トーセンアマンダ,牝8,54.0,遠藤健太,,,39.1,,
3,3,アスフォデロース,牝5,54.0,和田譲治,,,41.3,,
