コーナー,通過順
1コーナー,"5,9,12,(4,13),(1,7)-(6,11),(2,10),3-8"
2コーナー,"5,9,(4,12,13),(1,7),(6,11),(2,10),3-8"
3コーナー,"5,9,(4,7,12),13,(1,6)-(2,11,10),3-8"
4コーナー,"5,9,(4,7),(1,6),12,(11,13),(2,3,10)-8"
