馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,脚質
16,8,ガーリッシュ,牝3,54.0,矢野貴之,,,38.5,,
8,4,フィールドアピール,牝3,54.0,笹川翼,,,39.4,,
3,2,リコーブルーアイ,牡3,56.0,澤田龍哉,,,38.0,,
13,7,ドレヴィーナス,牝3,54.0,安藤洋一,,,39.0,,
4,2,ナムラソラン,牝3,51.0,▲西優哉,,,39.1,,
12,6,カクヒメ,牝3,54.0,吉井章,,,40.0,,
11,6,ヤッティライネン,牡3,56.0,藤本現暉,,,39.9,,
6,3,ケテンビート,牡3,56.0,江里口裕,,,40.6,,
14,7,モカットモネ,牝3,54.0,達城龍次,,,39.8,,
9,5,ゴールドモア,牡3,55.0,☆中山遥人,,,39.6,,
2,1,ラブリーファンク,牝3,54.0,櫻井光輔,,,40.4,,
10,5,ウィルプレイス,牝3,51.0,▲木澤奨,,,40.7,,
5,3,アメジストハート,牝3,51.0,▲高橋優,,,40.8,,
7,4,エマーユ,牝3,54.0,西啓太,,,42.0,,
15,8,アークルージエ,牝3,53.0,☆谷内貫太,,,41.0,,
1,1,ヒガシナデシコ,牝3,54.0,和田譲治,,,43.7,,
