コーナー,通過順
1コーナー,"7,5,(1,9)-(4,3)-2-6,8"
2コーナー,"(7,5),9,1,(4,3)-2-6-8"
3コーナー,"(7,5),(3,9)-(1,4)-2-6,8"
4コーナー,"(7,5),(3,9)-4-1,2-6,8"
