馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,脚質
10,6,ポリループ,牡3,56.0,矢野貴之,,,39.2,,
9,6,クォンタムビット,牡3,56.0,笹川翼,,,40.0,,
8,5,ティブロンアスール,牡3,56.0,藤本現暉,,,40.2,,
12,7,バイソンバローズ,牡3,56.0,本田正重,,,41.0,,
4,3,サリー,牝3,51.0,▲杉山海波,,,41.5,,
1,1,ネオアオトビ,牡3,56.0,藤田凌,,,40.3,,
6,4,ポロリス,牝3,54.0,石川駿介,,,40.4,,
14,8,フォーカス,牡3,56.0,東原悠善,,,40.3,,
3,3,オーシャンクロノス,牝3,54.0,田中洸多,,,41.9,,
11,7,チャオグラッド,セ3,56.0,藤原幹生,,,41.8,,
13,8,ナナセショー,牡3,53.0,▲高橋優,,,43.2,,
2,2,リュウノナナホシ,牝3,54.0,本村直樹,,,42.9,,
5,4,ユウユウチャパティ,牝3,54.0,安藤洋一,,,42.5,,
7,5,ヤマトシーダー,牝3,54.0,横川怜央,,,44.4,,
