券種,組み合わせ,配当,人気
単勝,13,1380,7
複勝,13,510,8
複勝,8,300,4
複勝,9,350,5
枠連,6-8,850,4
馬連,8-13,3400,14
ワイド,8-13,1330,18
ワイド,9-13,2970,36
ワイド,8-9,1250,17
馬単,13-8,7830,31
3連複,8-9-13,17850,64
3連単,13-8-9,90680,300
