券種,組み合わせ,配当,人気
単勝,11,590,2
複勝,11,350,7
複勝,10,220,2
複勝,9,1270,11
枠連,6-7,1130,5
馬連,10-11,2040,7
ワイド,10-11,890,10
ワイド,9-11,7730,62
ワイド,9-10,7030,56
馬単,11-10,3460,10
3連複,9-10-11,44440,135
3連単,11-10-9,119640,421
