馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,脚質
3,2,スターメイデン,牝5,54.0,西啓太,,,38.2,,
2,2,ストライクルックス,牝4,51.0,▲西優哉,,,37.7,,
8,5,エスケイイーグル,牡5,56.0,藤本現暉,,,38.0,,
12,7,トサノオウマサン,牝4,51.0,▲小野俊斗,,,37.4,,
14,8,ブラボーキングダム,セ5,56.0,安藤洋一,,,37.9,,
9,5,チェイスザファイア,セ4,53.0,▲高橋優,,,39.0,,
1,1,ジャスミン,牝4,54.0,佐野遥久,,,38.2,,
7,4,マイフェアレディ,牝4,53.0,☆中山遥人,,,39.2,,
6,4,オオサキサンダー,牡4,56.0,岡村健司,,,37.9,,
4,3,ハヴィティペイ,牡8,56.0,本村直樹,,,38.3,,
15,8,ヤマノリッチ,牝6,54.0,江里口裕,,,38.9,,
13,7,レディヴィクトリア,牝8,51.0,▲杉山海波,,,39.7,,
11,6,ブレスト,牝4,54.0,横川怜央,,,38.2,,
5,3,シストロン,牝4,54.0,東原悠善,,,38.5,,
10,6,リコーグロック,牝6,54.0,町田直希,,,42.5,,
