コーナー,通過順
2コーナー,"2,(3,7),(1,4,8),(9,11,12),(5,10)-6"
3コーナー,"(2,7),8,3,4,12,(1,10),(5,11)-6-9"
4コーナー,"(2,7)-8-(3,4)-12,(1,10),(5,6),11-9"
