馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,マイネルサブマリン,牡9,吉井章,大井・森下淳平,差し,18.8,6,2,ブルージ(B1B2),38.7,486(-6),大井,99,中13週,,,0,Race Day,Distinctive Pro,
2,2,グラヴィス,牡5,笹川翼,大井・荒山勝徳,差し,5.6,3,10,,37.7,506(-2),中京,83,中11週,Y,,3,ハーツクライ,Storm Cat,
3,3,ハイエストポイント,牡8,西啓太,大井・橋本和馬,追込,293.1,10,13,,39.8,456(-4),大井,24,中2週,,,0,シンボリクリスエス,ジャングルポケット,
4,4,ムットクルフェ,セ5,矢野貴,大井・的場直之,差し,2.1,1,1,ジュエリ(A2B1),38.0,487(+1),大井,46,中6週,,,0,トビーズコーナー,キングカメハメハ,
5,5,ベルグラシアス,牝4,達城龍,大井・市村誠,追込,24.2,7,4,アメジス(A2),38.6,458(+1),大井,21,中2週,,,0,サンダースノー,アサティス,
6,6,キャッスルブレイヴ,牡7,安藤洋,船橋・渋谷信博,追込,100.7,9,9,アルメリ(A2B1),40.8,497(-6),船橋,28,中3週,,,0,スマートファルコン,マイネルラヴ,
7,7,ロイヤルペガサス,牡9,鷹見陸,大井・宗形竹見,差し,57.7,8,6,アルメリ(A2B1),40.2,555(+6),船橋,28,中3週,,,0,ハタノヴァンクール,Fusaichi Pegasus,
8,7,タンゴノアール,牡5,野畑凌,大井・上杉昌宏,先行,10.6,5,1,セプテン(A2B1),37.2,510(-4),大井,192,中26週,,Y,0,ホッコータルマエ,マンハッタンカフェ,
9,8,カズプレスト,牡7,藤田凌,大井・渡辺和雄,追込,7.7,4,12,,37.8,537(+11),京都,103,中14週,Y,,3,カレンブラックヒル,Lemon Drop Kid,
10,8,ブレスワード,セ5,御神本,大井・渡辺和雄,先行,3.7,2,5,ジュエリ(A2B1),39.0,494(0),大井,46,中6週,,,2,ニューイヤーズデイ,サンデーサイレンス,
