馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,メガコウチャハイ,牝3,瀬川将,大井・市村誠,差し,198.3,8,11,3歳七 (3歳八),40.1,426(+5),大井,23,中2週,,,0,ダノンプレミアム,ジャングルポケット,
2,2,ドレインザスワンプ,牝3,西優哉,大井・村上頼章,差し,9.5,4,4,3歳一 (3歳二),38.4,452(-4),大井,21,中2週,,,0,イスラボニータ,ディープブリランテ,
3,3,エリザベートバディ,牝3,西啓太,大井・中道啓二,差し,16.0,5,5,3歳 選抜,40.0,467(-14),大井,43,中5週,,,0,ポアゾンブラック,ゴールドアリュール,
4,4,カナホゲラ,牝3,和田譲,大井・赤嶺亮,差し,1.6,1,2,3歳一 (3歳二),36.6,493(-2),大井,21,中2週,,,0,スズカコーズウェイ,シニスターミニスター,
5,5,ハヤマデイズ,牝3,田中洸,大井・穂刈隆志,追込,267.4,9,9,3歳一 (3歳二),39.5,472(-3),大井,21,中2週,,,0,アポロケンタッキー,ドゥラメンテ,
6,6,マジックエレガンス,牝3,笹川翼,大井・福永敏,先行,3.3,2,2,3歳六 (3歳七),39.0,458(+8),大井,64,中8週,,,0,マジェスティックウォリアー,クロフネ,
7,7,キューティーハード,牝3,藤本現,大井・阪本一栄,差し,70.8,7,5,3歳四 (3歳五),38.0,467(+6),大井,22,中2週,,,0,ヴァンセンヌ,タイムパラドックス,
8,8,スタールビーピアス,牝3,矢野貴,大井・月岡健二,差し,8.4,3,1,3歳四 (3歳五),37.5,391(-3),大井,22,中2週,,,0,カリフォルニアクローム,キズナ,
9,8,ディアモアー,牝3,達城龍,大井・納谷和玖,差し,30.0,6,6,3歳一 (3歳二),38.1,440(+5),大井,21,中2週,,,0,フリオーソ,スパイキュール,
