コーナー,通過順
2コーナー,"7,3,(2,6),(1,9),(4,5,8)-10"
3コーナー,"7,(3,6),(2,9,5),(1,4)-(10,8)"
4コーナー,"(7,6)-(2,5),3,(1,9),(10,4),8"
