着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,3,3,ファーングロット,牡4,57.0,北村友,2:27.7,,3,4.6,33.7,栗東上村,496(+10)
2,7,7,アスクコモンタレヴ,牡4,57.0,武豊,2:27.8,クビ,1,2.7,33.7,栗東梅田,474(0)
3,2,2,ロードガレリア,牡4,57.0,高杉,2:28.0,1.1/2,2,3.0,33.7,栗東藤岡,448(-8)
4,8,9,ファームツエンティ,セ6,58.0,ハマー,2:28.2,1.1/4,4,7.5,33.3,栗東北出,446(+2)
5,4,4,ドルチェリターン,牡4,57.0,団野,2:28.2,クビ,7,26.3,34.0,栗東前川,470(+2)
6,1,1,ジェロニモス,牡5,58.0,岩田望,2:28.4,1,5,12.5,34.7,栗東中村,494(0)
7,6,6,プレデスティナーレ,牡4,57.0,秋山稔,2:28.6,1.1/2,6,16.7,34.0,栗東北出,480(+2)
8,8,8,アットアブラスト,セ6,58.0,吉村,2:28.7,3/4,8,49.0,34.5,栗東小椋,458(+6)
9,5,5,ドゥラシェーナ,牝5,53.0,▲川端,2:29.8,7,9,103.7,35.2,栗東佐々木,468(+4)
