券種,組み合わせ,配当,人気
単勝,18,2760,12
複勝,18,980,13
複勝,8,300,3
複勝,10,870,12
枠連,4-8,820,1
馬連,8-18,16560,60
ワイド,8-18,5020,58
ワイド,10-18,14690,111
ワイド,8-10,3950,49
馬単,18-8,31830,122
3連複,8-10-18,162740,393
3連単,18-8-10,733950,021
