券種,組み合わせ,配当,人気
単勝,9,570,2
複勝,9,190,2
複勝,7,450,8
複勝,5,320,4
枠連,4-5,1950,8
馬連,7-9,5940,19
ワイド,7-9,1730,20
ワイド,5-9,940,8
ワイド,5-7,2120,27
馬単,9-7,10430,36
3連複,5-7-9,17160,58
3連単,9-7-5,100940,308
