馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ビートザレコード,牡7,草野,美浦・戸田,差し,32.5,7,4,,13.5,494(+10),中山,364,中51週,Y,Y,3,ジャスタウェイ,Victory Note,,
2,2,スズカハービン,牡6,難波,栗東・高橋忠,逃げ,4.5,2,1,,13.7,478(0),小倉,28,中3週,Y,,3,ハービンジャー,サンデーサイレンス,,
3,3,ゴールデンスロープ,セ5,石神深,美浦・小笠,,18.8,5,5,,13.8,452(-2),小倉,28,中3週,Y,,3,ゴールドシップ,ティンバーカントリー,,
4,4,タマモエース,牡7,小野寺,栗東・宮地,先行,23.2,6,9,,14.2,484(-4),中山,84,中11週,Y,,3,ワールドエース,サウスヴィグラス,,
5,5,コスモチプリア,牝6,,美浦・松永康,差し,77.0,10,6,,13.8,460(-2),小倉,28,中3週,Y,,3,ゴールドシップ,スウェプトオーヴァーボード,,
6,6,ジーティーオウジャ,セ5,水沼,美浦・石栗,差し,67.4,9,10,,13.5,516(-6),小倉,49,中6週,Y,,3,ルーラーシップ,シンボリクリスエス,,
7,7,アトラクティーボ,牡7,坂口,美浦・武藤,先行,54.3,8,10,,40.9,536(-8),中山,91,中12週,Y,,3,ワンアンドオンリー,ファスリエフ,,
8,7,シホノスペランツァ,牡7,高田,栗東・寺島,先行,1.9,1,1,,13.6,486(+6),京都,70,中9週,Y,,3,ブラックタイド,シンボリクリスエス,,
9,8,ピーターサイト,牡6,上野,美浦・村田,,4.8,3,6,,14.1,482(+4),中山,84,中11週,Y,,3,ワンアンドオンリー,ブライアンズタイム,,
10,8,フォージドブリック,牡5,大江圭,美浦・西田,先行,7.9,4,3,,13.5,564(+4),中山,75,中10週,Y,,3,ブリックスアンドモルタル,クロフネ,,
