券種,組み合わせ,配当,人気
単勝,9,3120,8
複勝,9,800,8
複勝,4,1500,11
複勝,17,190,2
枠連,2-5,13950,23
馬連,4-9,58970,83
ワイド,4-9,14600,84
ワイド,9-17,2970,30
ワイド,4-17,4200,35
馬単,9-4,105030,156
3連複,4-9-17,122790,222
3連単,9-4-17,1156120,571
