券種,組み合わせ,配当,人気
単勝,8,370,2
複勝,8,200,3
複勝,12,1010,10
複勝,1,220,4
枠連,4-6,1900,7
馬連,8-12,8380,26
ワイド,8-12,2160,24
ワイド,1-8,890,9
ワイド,1-12,5230,41
馬単,8-12,11380,40
3連複,1-8-12,26410,71
3連単,8-12-1,105550,311
