馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ビーハッピーデイ,牝2,55.0,ミシェ,美浦・西田,,11.1,5,,,,448(0),,,,,,,サートゥルナーリア,American Post,,
2,2,ローズサルーテ,牝2,53.0,,美浦・松永康,,5.5,3,,,,452(0),,,,,,,ロジャーバローズ,クロフネ,,
3,2,アイファーエリース,牝2,55.0,松岡,美浦・蛯名利,,124.8,14,,,,428(0),,,,,,,アイファーソング,タニノギムレット,,
4,3,コスモグリュー,牝2,55.0,柴田大,美浦・田島,,75.6,12,,,,428(0),,,,,,,ベンバトル,トーセンホマレボシ,,
5,3,ナツハゼ,牝2,52.0,遠藤,美浦・武市,,16.4,7,,,,456(0),,,,,,,インディチャンプ,バトルプラン,,
6,4,ナイトオブマース,牝2,55.0,,美浦・林,,2.9,1,,,,464(0),,,,,,,サートゥルナーリア,Colonel John,,
7,4,ジェイエルターボ,牝2,55.0,菊沢,美浦・鈴木慎,,25.4,8,,,,468(0),,,,,,,エフフォーリア,ヨハネスブルグ,,
8,5,リネンエトワール,牝2,55.0,横山典,美浦・平岩,,5.0,2,,,,496(0),,,,,,,イスラボニータ,パラダイスクリーク,,
9,5,コールオンユー,牝2,55.0,木幡巧,美浦・牧,,30.4,11,,,,438(0),,,,,,,Saxon Warrior,Sea The Stars,,
10,6,ロックドダイアリー,牝2,55.0,田辺,美浦・久保田,,6.8,4,,,,466(0),,,,,,,エピファネイア,City Zip,,
11,6,アマンドショコラ,牝2,55.0,江田照,美浦・田中剛,,96.7,13,,,,438(0),,,,,,,デクラレーションオブウォー,クロフネ,,
12,7,フェスタベラ,牝2,55.0,杉原,美浦・木村,,29.8,9,,,,498(0),,,,,,,サートゥルナーリア,Awesome Patriot,,
13,7,ポテ,牝2,55.0,内田博,美浦・尾形,,15.1,6,,,,496(0),,,,,,,サリオス,Congrats,,
14,8,ステラストリーム,牝2,53.0,石田,美浦・尾形,,151.3,15,,,,478(0),,,,,,,アジアエクスプレス,ダイワメジャー,,
15,8,セレネリオン,牝2,55.0,佐々木,美浦・浅利,,29.8,10,,,,424(0),,,,,,,リアルスティール,キングカメハメハ,,
