券種,組み合わせ,配当,人気
単勝,12,480,1
複勝,12,190,1
複勝,4,380,7
複勝,8,590,10
枠連,2-6,820,3
馬連,4-12,2270,5
ワイド,4-12,930,7
ワイド,8-12,1140,13
ワイド,4-8,2370,34
馬単,12-4,3810,9
3連複,4-8-12,11000,38
3連単,12-4-8,41400,112
