券種,組み合わせ,配当,人気
単勝,13,500,3
複勝,13,190,3
複勝,11,180,2
複勝,8,240,5
枠連,7-8,800,3
馬連,11-13,810,2
ワイド,11-13,400,2
ワイド,8-13,690,8
ワイド,8-11,590,7
馬単,13-11,1790,4
3連複,8-11-13,2080,3
3連単,13-11-8,9470,16
