馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,エリンヘラクレス,牡2,石神道,美浦・清水英,,146.8,16,,,,476(0),,,,,,,カリフォルニアクローム,スクリーンヒーロー,,
2,1,トランサルピナ,牡2,荻野極,美浦・中舘,,2.8,2,,,,524(0),,,,,,,ジャンダルム,Dubawi,,
3,2,セイウンリリーナ,牝2,武藤,美浦・水野,,35.3,7,,,,418(0),,,,,,,ダノンスマッシュ,ダイワメジャー,,
4,2,ドリームユー,牝2,嶋田,美浦・西田,,51.5,11,,,,434(0),,,,,,,ベンバトル,ネオユニヴァース,,
5,3,クールボビー,牡2,石田,美浦・矢野,,35.7,8,,,,472(0),,,,,,,シャンハイボビー,ケイムホーム,,
6,3,グルーヴェンス,牡2,三浦,美浦・高柳瑞,,5.9,3,,,,420(0),,,,,,,カラヴァッジオ,モーリス,,
7,4,ミラクルオーラ,牡2,石川,美浦・松永康,,56.1,12,,,,454(0),,,,,,,ラニ,マンハッタンカフェ,,
8,4,ヴィンチェローズ,牡2,,美浦・青木,,67.9,13,,,,474(0),,,,,,,ダノンスマッシュ,ノヴェリスト,,
9,5,キミヘノメロディー,牡2,菊沢,美浦・石栗,,51.0,9,,,,476(0),,,,,,,ハタノヴァンクール,スペシャルウィーク,,
10,5,セイウンイーリス,牝2,野中,美浦・深山,,25.6,6,,,,430(0),,,,,,,リーチザクラウン,Sidney's Candy,,
11,6,ヴァンデエス,牝2,大野,美浦・中舘,,71.3,14,,,,428(0),,,,,,,ミッキーアイル,Dubawi,,
12,6,ドナチャージ,牝2,杉原,美浦・栗田,,20.6,5,,,,406(0),,,,,,,ウィルテイクチャージ,Malibu Moon,,
13,7,アイアムキレマスネ,牡2,津村,美浦・奥平,,51.2,10,,,,484(0),,,,,,,フォーウィールドライブ,ディープインパクト,,
14,7,チャランダマルツ,牝2,坂井,美浦・上原佑,,2.7,1,,,,472(0),,,,,,,サートゥルナーリア,ハービンジャー,,
15,8,コスモルトチェコ,牡2,丸田,美浦・石栗,,117.2,15,,,,438(0),,,,,,,ノヴェリスト,ネオユニヴァース,,
16,8,アルニタク,牡2,佐藤,美浦・伊藤圭,,9.9,4,,,,468(0),,,,,,,タワーオブロンドン,オルフェーヴル,,
