馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,レックスダミアーニ,牡2,54.0,長浜,美浦・池上,,46.1,10,,,,440(0),,,,,,,ハイランドリール,Put It Back,,
2,2,エバーラスティング,牝2,53.0,小林美,美浦・小笠,,27.7,7,,,,438(0),,,,,,,アドマイヤマーズ,ヴィクトワールピサ,,
3,3,ヴァイスリッター,牡2,55.0,江田照,美浦・加藤征,,162.0,14,,,,466(0),,,,,,,マインドユアビスケッツ,ファルブラヴ,,
4,3,フェイマスジャズ,牝2,55.0,杉原,美浦・大和田,,11.9,4,,,,462(0),,,,,,,シュヴァルグラン,ティンバーカントリー,,
5,4,ニシノカチオトコ,牡2,55.0,原田和,美浦・栗田,,17.1,5,,,,478(0),,,,,,,ベンバトル,ディープインパクト,,
6,4,ブンブクチャガマ,牝2,55.0,嶋田,美浦・手塚久,,10.3,3,,,,498(0),,,,,,,ヤングマンパワー,キングヘイロー,,
7,5,スペーストラベラー,牡2,55.0,菊沢,美浦・菊沢,,58.6,12,,,,446(0),,,,,,,アドマイヤマーズ,Lizard Island,,
8,5,ブーケフォーミー,牝2,55.0,横山琉,美浦・柄崎,,35.9,8,,,,488(0),,,,,,,エフフォーリア,ヴィクトワールピサ,,
9,6,ハナミヤビ,牝2,55.0,木幡巧,美浦・勢司,,82.1,13,,,,398(0),,,,,,,ベンバトル,オルフェーヴル,,
10,6,ペプチドデバイス,牡2,55.0,横山武,栗東・武英,,2.8,2,,,,456(0),,,,,,,リアルスティール,キングカメハメハ,,
11,7,ゾネンバーデン,牡2,55.0,柴田大,美浦・岩戸,,54.7,11,,,,418(0),,,,,,,ウインブライト,クロフネ,,
12,7,ジャロロッソ,牡2,55.0,ルメー,美浦・上原佑,,2.2,1,,,,456(0),,,,,,,シルバーステート,Uncle Mo,,
13,8,サヴィッジブロウ,牡2,55.0,,美浦・上原博,,38.2,9,,,,524(0),,,,,,,Teofilo,Dubawi,,
14,8,シダモフレイバー,牡2,55.0,戸崎圭,美浦・久保田,,18.3,6,,,,460(0),,,,,,,アドマイヤマーズ,ジャスタウェイ,,
