馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,コロナドブリッジ,牡2,西村淳,栗東・庄野,,2.9,2,2,2歳未勝利,36.9,510(-2),小倉,58,中7週,Y,,2,ベンバトル,ディープインパクト,,
2,2,ジーモンスター,牡2,岩田康,栗東・佐藤悠,差し,14.6,4,5,2歳新馬,34.9,514(+4),中京,15,中1週,Y,,1,モズアスコット,キングカメハメハ,,
3,3,サウンドラッシュ,牡2,松山,栗東・安達,差し,68.1,5,7,2歳新馬,35.6,418(-4),中京,15,中1週,Y,,1,マジェスティックウォリアー,ディープインパクト,,
4,4,マイネルホウセン,牡2,川田,栗東・清水久,差し,3.8,3,4,2歳新馬,34.3,456(0),中京,22,中2週,Y,,1,ゴールドシップ,スクリーンヒーロー,,
5,5,シーズザスローン,牡2,武豊,栗東・松永幹,差し,1.7,1,2,2歳未勝利,36.4,470(+2),福島,65,中8週,Y,,2,キズナ,Frankel,,
