券種,組み合わせ,配当,人気
単勝,11,600,4
複勝,11,210,5
複勝,9,210,4
複勝,6,150,1
枠連,5-6,1260,5
馬連,9-11,3200,12
ワイド,9-11,1030,11
ワイド,6-11,610,4
ワイド,6-9,620,5
馬単,11-9,6180,25
3連複,6-9-11,3980,9
3連単,11-9-6,24260,62
