コーナー,通過順
1コーナー,"10,5-(8,12)13,4(6,11)(2,7,14)1,9,3"
2コーナー,"10,5-(8,12)(4,13)(6,11)(2,7,14)1-9,3"
3コーナー,"13,12(5,4)(8,11)(10,6,14)(2,1)7(9,3)"
4コーナー,"(*13,12)(5,4)(8,11)(6,14)1(2,7,3)9,10"
