券種,組み合わせ,配当,人気
単勝,4,2400,9
複勝,4,560,9
複勝,6,170,1
複勝,3,210,3
枠連,4-5,5870,21
馬連,4-6,6040,27
ワイド,4-6,2350,32
ワイド,3-4,2050,29
ワイド,3-6,500,1
馬単,4-6,15070,65
3連複,3-4-6,9380,39
3連単,4-6-3,69350,293
