券種,組み合わせ,配当,人気
単勝,9,900,4
複勝,9,300,5
複勝,15,150,1
複勝,16,230,3
枠連,5-8,1410,5
馬連,9-15,2290,6
ワイド,9-15,910,7
ワイド,9-16,1010,10
ワイド,15-16,460,2
馬単,9-15,4370,12
3連複,9-15-16,3690,6
3連単,9-15-16,20610,39
