着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,4,ゼンダンハヤブサ,牡4,55.0,酒井,1:34.2,,6,13.6,32.9,栗東佐々木,452(+2)
2,8,9,テラメリタ,牝5,55.0,西村淳,1:34.2,クビ,3,4.5,33.3,栗東須貝,484(+2)
3,2,2,ウォータークラーク,牡4,57.0,幸,1:34.2,クビ,1,3.6,33.2,栗東石橋,488(-4)
4,8,10,シャンパンライフ,牝4,52.0,松若,1:34.5,1.1/2,2,3.7,33.2,栗東四位,456(-2)
5,1,1,リリーブライト,牡8,54.0,荻野琢,1:34.6,1/2,9,89.7,33.7,美浦西田,480(-4)
6,7,7,アジュマン,牡4,54.0,菱田,1:34.6,クビ,8,20.7,33.5,栗東石坂,478(+4)
7,5,5,ネーブルオレンジ,牝4,52.0,川又,1:34.6,クビ,7,18.9,34.1,栗東杉山佳,486(+6)
8,3,3,ダノンブランニュー,牡4,53.0,小崎,1:34.7,クビ,5,6.9,33.5,栗東福永,494(+6)
9,6,6,ナグルファル,牡4,55.0,吉村,1:34.7,ハナ,4,6.4,34.1,栗東杉山晴,518(+2)
10,7,8,アイファーバトル,牡5,53.0,秋山稔,1:35.1,2.1/2,10,164.2,33.7,美浦根本,480(-9)
