券種,組み合わせ,配当,人気
単勝,16,260,1
複勝,16,130,1
複勝,1,170,3
複勝,4,440,6
枠連,1-8,280,1
馬連,1-16,690,3
ワイド,1-16,370,3
ワイド,4-16,910,9
ワイド,1-4,1260,13
馬単,16-1,1300,6
3連複,1-4-16,4340,13
3連単,16-1-4,15760,45
