券種,組み合わせ,配当,人気
単勝,4,1110,3
複勝,4,210,3
複勝,12,110,1
複勝,10,250,5
枠連,4-8,880,4
馬連,4-12,1050,4
ワイド,4-12,400,4
ワイド,4-10,1580,18
ワイド,10-12,290,2
馬単,4-12,3370,12
3連複,4-10-12,2390,7
3連単,4-12-10,26210,82
