コーナー,通過順
1コーナー,"6-4,9,7(1,10)-3,5,2,8"
2コーナー,"6-4,9,7,10-1-3,5,2,8"
3コーナー,"9-7-10(4,1)-(6,5)=3=8-2"
4コーナー,"9,7=10-1=5-4=3-(8,6)=2"
