着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,14,シャドウレディー,牝3,55.0,北村友,1:11.3,,12,43.7,36.9,栗東吉岡,424(-12)
2,6,10,ディアナゼロス,牝3,54.0,☆佐々木,1:11.3,クビ,2,6.2,37.1,美浦牧,482(+8)
3,3,4,パワポケビー,牝4,52.0,★小林美,1:11.6,1.3/4,1,3.3,37.5,美浦中野,506(+10)
4,4,7,アネモス,牝3,55.0,荻野極,1:11.7,1/2,7,13.3,37.2,栗東北出,492(-4)
5,1,1,グッドロマンス,牝3,52.0,▲小林勝,1:11.9,1.1/4,8,14.8,37.4,美浦稲垣,456(0)
6,4,6,グリモワール,牝4,54.0,◇藤田菜,1:11.9,ハナ,14,99.1,37.1,美浦奥平,470(-22)
7,6,11,グレイスカリヨン,牝3,52.0,▲水沼,1:12.0,クビ,11,37.4,37.0,美浦堀内,452(+2)
8,3,5,ハクアイアテナ,牝3,52.0,▲今村,1:12.2,1.1/4,5,7.5,36.6,栗東今野,430(0)
9,5,9,オルフェスト,牝3,55.0,北村宏,1:12.3,1/2,4,6.9,37.8,美浦池上,438(+2)
10,5,8,マリノフェアレディ,牝3,54.0,☆秋山稔,1:12.5,1.1/4,15,194.8,37.1,美浦蛯名利,422(+12)
11,2,3,クイーンアポーン,牝4,56.0,丸山,1:12.5,ハナ,9,28.6,37.1,美浦土田,462(-6)
12,7,12,アルバリーニョ,牝5,56.0,丹内,1:12.6,クビ,13,67.5,36.6,栗東森田,466(+6)
13,7,13,ソナトリーチェ,牝5,53.0,▲永島,1:12.6,アタマ,6,11.8,37.3,栗東奥村豊,466(-2)
14,8,15,ナウズザタイム,牝3,51.0,★古川奈,1:13.0,2.1/2,10,29.8,38.4,栗東安田隆,456(-8)
15,2,2,プライムレート,牝3,55.0,水口,1:13.6,3.1/2,3,6.8,38.4,栗東笹田,484(0)
