コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"1,3,10(6,5)(12,13)(4,11)-8(2,9)-7"
4コーナー,"(*1,3,10)(6,5)(12,13)(4,11)8(2,9)7"
