券種,組み合わせ,配当,人気
単勝,8,490,3
複勝,8,220,3
複勝,2,160,2
複勝,1,360,6
枠連,2-6,1110,4
馬連,2-8,1150,3
ワイド,2-8,530,3
ワイド,1-8,1610,24
ワイド,1-2,750,7
馬単,8-2,1560,4
3連複,1-2-8,3880,11
3連単,8-2-1,14010,30
