券種,組み合わせ,配当,人気
単勝,13,280,1
複勝,13,130,1
複勝,4,230,5
複勝,12,140,2
枠連,3-7,420,1
馬連,4-13,1810,6
ワイド,4-13,640,5
ワイド,12-13,220,1
ワイド,4-12,820,10
馬単,13-4,2780,9
3連複,4-12-13,1990,3
3連単,13-4-12,10900,19
