券種,組み合わせ,配当,人気
単勝,5,170,1
複勝,5,110,1
複勝,2,110,2
複勝,6,120,3
馬連,2-5,190,1
ワイド,2-5,120,1
ワイド,5-6,170,2
ワイド,2-6,180,3
馬単,5-2,290,1
3連複,2-5-6,250,1
3連単,5-2-6,610,1
