コーナー,通過順
1コーナー,"9,4(2,5)(3,6,8,13)(10,16)7(11,15)12-(1,14)"
2コーナー,"9,4-(2,5)(3,6,8,13)(7,10,16)(11,15)-12-14,1"
3コーナー,"9,4-(2,5,13,16)(6,12)(3,8,15,14)7(11,10)-1"
4コーナー,"9,4(2,5)(3,6)(7,16)(13,15)(8,12,14)(11,10)1"
