券種,組み合わせ,配当,人気
単勝,7,380,1
複勝,7,190,2
複勝,9,400,6
複勝,3,690,9
枠連,4-5,1430,7
馬連,7-9,2720,10
ワイド,7-9,1200,10
ワイド,3-7,2150,23
ワイド,3-9,5190,52
馬単,7-9,4830,16
3連複,3-7-9,26130,80
3連単,7-9-3,82790,258
