馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,テスティモーネ,牡3,,栗東・大根田,先行,89.5,9,1,3歳未勝利,38.2,510(+2),中京,15,中1週,Y,,2,ドレフォン,サウスヴィグラス,,
2,2,グランキングオー,牡3,Ａルメ,栗東・高橋康,先行,32.1,5,1,3歳未勝利,37.0,454(+2),小倉,15,中1週,Y,,3,シニスターミニスター,ゴールドアリュール,,
3,3,ニヒトツーゼーア,牡3,岩田康,栗東・中竹,差し,173.4,10,7,2歳1勝クラス,40.8,516(+12),中山,63,中8週,Y,,3,リオンディーズ,タニノギムレット,,
4,4,ロードラビリンス,牡3,松山,栗東・松下,,3.6,2,2,3歳1勝クラス,37.6,490(+4),中京,22,中2週,Y,,3,ミッキーアイル,ロードカナロア,,
5,5,ナンヨーパワフル,牡3,鮫島駿,栗東・松永幹,先行,8.5,3,5,3歳1勝クラス,38.1,540(-6),中京,14,中1週,Y,,2,ナダル,キャプテンスティーヴ,,B
6,6,サマーナイト,牡3,坂井,栗東・寺島,先行,33.3,6,1,2歳未勝利,37.4,488(0),京都,56,中7週,Y,,3,ルーラーシップ,アグネスタキオン,,B
7,7,ブルックリンダンス,牡3,団野,栗東・田中克,先行,17.5,4,1,2歳未勝利,37.3,480(+2),京都,78,中10週,Y,,3,ルヴァンスレーヴ,キングカメハメハ,,
8,7,ヴァンアグレアブル,牝3,西村淳,栗東・橋口,差し,61.2,8,1,2歳未勝利,38.4,514(-4),京都,71,中9週,Y,,3,ルヴァンスレーヴ,クロフネ,,
9,8,グランドプラージュ,牡3,川田,栗東・杉山晴,逃げ,1.4,1,1,2歳新馬,37.0,524(0),京都,64,中8週,Y,,1,シニスターミニスター,キングカメハメハ,,
10,8,クインズショコラ,牝3,Ｍデム,栗東・新谷,差し,44.2,7,1,3歳未勝利,38.7,488(-2),中京,14,中1週,Y,,2,Tiz the Law,Candy Ride,,
