券種,組み合わせ,配当,人気
単勝,10,750,5
複勝,10,240,5
複勝,12,340,6
複勝,7,200,3
枠連,6-7,1820,9
馬連,10-12,5420,20
ワイド,10-12,1390,18
ワイド,7-10,760,10
ワイド,7-12,1650,22
馬単,10-12,9620,36
3連複,7-10-12,7250,25
3連単,10-12-7,53010,182
